dish_id,image_path,mass,food_class,n_masks,seg_conf_mean,seg_conf_max,dominant_mask_area_px,image_h,image_w,image_area_px,area_px,area_ratio,bbox_w,bbox_h,bbox_area_px,bbox_fill_ratio,aspect_ratio,plate_depth,pseudo_volume_plate_minus_food,pseudo_volume_food_minus_plate,mean_height_plate_minus_food,mean_height_food_minus_plate,food_depth_mean,food_depth_std,food_depth_min,food_depth_p05,food_depth_p25,food_depth_p50,food_depth_p75,food_depth_p95,food_depth_max,global_depth_mean,global_depth_std,global_depth_min,global_depth_p05,global_depth_p25,global_depth_p50,global_depth_p75,global_depth_p95,global_depth_max
dish_1556572657,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556572657\rgb.png,36.0,salad,13,0.408911815056434,0.7643855214118958,22512,480,640,307200,48832,0.1589583333333333,556,478,265768,0.183739201107733,1.1631799163179917,0.060031484812498,565.302001953125,4457.46875,0.0115764662623405,0.0912817195057869,0.1508394181728363,0.1553123295307159,0.0006000159191899,0.0170500886626541,0.0341427689418196,0.0689511075615882,0.2615230157971382,0.3362254872918128,0.9661465883255004,0.1925381273031234,0.2091738581657409,0.0,0.019233251735568,0.0451778015121817,0.1167414151132106,0.2819730564951896,0.788090232014656,1.0
dish_1556573514,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556573514\rgb.png,23.0,stick,18,0.3904506762822469,0.7925376296043396,14333,480,640,307200,40791,0.132783203125,533,480,255840,0.1594394934333958,1.1104166666666666,0.292341411113739,1391.8614501953125,6512.66357421875,0.0341217778623104,0.1596593260765075,0.4178487062454223,0.2138652503490448,0.0456523075699806,0.1653947010636329,0.2124467715620994,0.3279004693031311,0.6477322280406952,0.7264038324356079,0.7881599068641663,0.4197176098823547,0.2372255176305771,0.0,0.1526489838957786,0.2166557721793651,0.3380861431360245,0.6229008436203003,0.843962773680687,1.0
dish_1556575014,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556575014\rgb.png,62.0,stick,26,0.4173172288216077,0.8528391718864441,13118,480,640,307200,63103,0.2054134114583333,516,480,247680,0.2547763242894056,1.075,0.1740941554307937,1735.483642578125,3075.0087890625,0.0275023952126503,0.0487299934029579,0.1958427280187606,0.1091212481260299,0.0132511965930461,0.0475355792790651,0.1288715824484825,0.1737378239631652,0.2281071320176124,0.4512706011533736,0.6847668290138245,0.2224751859903335,0.1886997520923614,0.0,0.0455541459843516,0.111450120806694,0.166060596704483,0.2328630238771438,0.7336245626211165,1.0
dish_1556575083,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556575083\rgb.png,64.0,salad,19,0.4310212558821628,0.6463344693183899,23796,480,640,307200,63060,0.2052734375,527,480,252960,0.2492884250474383,1.0979166666666669,0.2558168172836303,2202.735595703125,8506.6572265625,0.0349307879805564,0.1348978281021118,0.3566540777683258,0.2108774930238723,0.0078244497999548,0.1243380140513181,0.1801496148109436,0.306550070643425,0.4698469415307045,0.7814488589763641,0.8922143578529358,0.4039707481861114,0.2362306267023086,0.0,0.1263792090117931,0.205380767583847,0.3494356125593185,0.5616916418075562,0.8768524825572968,1.0
dish_1556575124,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556575124\rgb.png,28.0,salad,11,0.3696915263479406,0.9048989415168762,21745,480,640,307200,54038,0.1759049479166666,559,479,267761,0.2018143045477123,1.1670146137787056,0.0911190807819366,564.8026123046875,5294.9404296875,0.0104519529268145,0.0979854986071586,0.1851566135883331,0.1661172658205032,0.0,0.0390301378443837,0.0711189806461334,0.1175392419099807,0.2494652532041072,0.5989584416151045,0.9255044460296632,0.2322918772697448,0.2035403251647949,0.0,0.0535882230848073,0.0845372155308723,0.1434663534164428,0.3268392905592918,0.7026365071535098,1.0
dish_1556575273,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556575273\rgb.png,152.0,salad,23,0.4525471886862879,0.7982900738716125,20146,480,640,307200,57057,0.185732421875,572,479,273988,0.2082463465553236,1.1941544885177453,0.0611754208803176,244.77639770507807,5748.40234375,0.0042900326661765,0.1007484123110771,0.1597358882427215,0.2106538116931915,0.0063265562057495,0.0391896449029445,0.0533537007868289,0.0774837881326675,0.1779431402683258,0.9153296470642088,1.0,0.1608408391475677,0.1904425024986267,0.0,0.043848318234086,0.0593756893649697,0.0908684358000755,0.1755217984318733,0.7508620113134383,1.0
dish_1556575327,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556575327\rgb.png,152.0,stick,27,0.4686653889991619,0.9061881303787231,8438,480,640,307200,40166,0.1307486979166666,474,410,194340,0.2066790161572501,1.1560975609756097,0.1942913830280304,1531.918701171875,3089.4814453125,0.0381396859884262,0.076917827129364,0.2327566742897033,0.1582473069429397,0.0346003100275993,0.0685956478118896,0.1188915986567735,0.1815050691366195,0.3068182691931724,0.5242713689804077,0.5605362057685852,0.2711726427078247,0.2003778666257858,0.0,0.0634007345885038,0.1256202831864357,0.2046644687652588,0.3865129351615906,0.7350885689258575,1.0
dish_1556575386,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556575386\rgb.png,152.0,pudding,36,0.5092927937706312,0.9092442393302916,4423,480,640,307200,10498,0.0341731770833333,498,445,221610,0.0473715085059338,1.1191011235955055,0.3783314824104309,139.77337646484375,257.6376037597656,0.0133142862468957,0.024541588500142,0.3896633088588714,0.0472644679248333,0.2864681780338287,0.3255210876464843,0.3541861623525619,0.3803238719701767,0.4239338710904121,0.4823053836822509,0.6332231163978577,0.4526265561580658,0.1917812377214431,0.0,0.1940714679658413,0.3387065008282661,0.402649462223053,0.5361491590738297,0.8308211028575897,1.0
dish_1556575446,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556575446\rgb.png,152.0,salad,27,0.5052718652619256,0.7840330600738525,28404,480,640,307200,71472,0.23265625,471,449,211479,0.3379626345878314,1.0489977728285078,0.1673626899719238,2095.860595703125,8653.212890625,0.0293242186307907,0.1210713684558868,0.2592709362506866,0.2265660762786865,0.0005690353573299,0.0739437989890575,0.1111506726592779,0.1550288498401641,0.3051044642925262,0.7236323207616806,0.7811205387115479,0.2919327914714813,0.2182690352201461,0.0,0.0787120912224054,0.132391057908535,0.1944951564073562,0.4007715359330177,0.7300261229276657,1.0
dish_1556575499,C:\training\mass_estimation\imagery\realsense_overhead\dish_1556575499\rgb.png,152.0,salad,10,0.4273881435394287,0.7170122265815735,6398,480,640,307200,12701,0.0413444010416666,491,308,151228,0.0839857698309836,1.594155844155844,0.2127396911382675,105.02896118164062,207.2669982910156,0.0082693453878164,0.0163189508020877,0.222349539399147,0.0364875011146068,0.1363548040390014,0.1768385767936706,0.1984108686447143,0.212076649069786,0.2442777603864669,0.2772880494594574,0.406909704208374,0.3050363063812256,0.178623229265213,0.0,0.151968664675951,0.2012544609606266,0.2450356185436248,0.373378574848175,0.8110320627689358,1.0
